,text,abstract,abstract_size,pred_summary,nltk_pred_summary
2099,"India has been ranked as the fourth most vacation deprived country globally, with 63% people taking fewer days of the vacations they get, a report by a travel company stated. The report revealed that 40% Indians don't use all vacation days or don't have enough staff to cover, while 32% are not able to take vacations due to personal schedule.","Mumbai, Dec 12 (PTI) India has been ranked as the fourth most vacation deprived country globally, as 63 per cent take fewer days of the vacations that they get, according to to a report. ""After Spain (68 per cent), UAE (68 per cent), Malaysia (67 per cent) and South Korea (64 per cent), India is ranked as the fourth most vacation deprived country globally,"" according to Expedia Vacation Deprivation report 2016. The report revealed that 40 per cent Indians dont use all vacation days as work schedule does not allow for vacation or dont have enough staff to cover and 32 per cent are not able to take vacation days due to personal schedule. ""Vacations play a critical role in creating work-life balance as it re-energises people to be more focused at work (95 per cent of Indians agree in the survey),"" Expedia, India, Marketing Head Manmeet Ahluwalia said. The report was conducted on behalf of Expedia by Northstar, a globally integrated strategic insights consulting firm online from September 12-29, 2016, across North America, Europe, South America, and Asia Pacific. It was conducted among 9,424 employed adults aged 18 years of age and older across 28 countries. The report also found that 27 per cent Indians did not take vacations as they found it difficult to coordinate time with their spouse or family and 32 per cent felt personal schedule did not allow them. About 21 per cent Indians also felt that important work decisions will be made when they are on vacations and 21 per cent said it will be perceived positively on their employers as the reasons for not taking any leave. Ahluwalia said, 47 per cent of Indians are ready to give up social media and television while 30 per cent would give up Internet and 27 per cent can give up contact with their besties for a week, all for one additional day of vacation. ",9,"India has been ranked as the fourth most vacation deprived country globally, with 63% people taking fewer days of the vacations they get, a report by a travel company stated. The report revealed that 40% Indians don't use all vacation days or don't have enough staff to cover, while 32% are not able to take vacations due to personal schedule.","India has been ranked as the fourth most vacation deprived country globally, with 63% people taking fewer days of the vacations they get, a report by a travel company stated. The report revealed that 40% Indians don't use all vacation days or don't have enough staff to cover, while 32% are not able to take vacations due to personal schedule."
3458,"West Bengal CM Mamata Banerjee on Thursday reacted to BJP leader Shyamapada Mondal's 'hijra' (eunuch) remark, stating she feels ashamed of such remarks. ""How dare they question my birth, my identity, my parents? Who are they? Even we worship Lord Ram, that Ram who worshipped Maa Durga,"" she said. Mondal had earlier said that TMC chief is a 'hijra'.","West Bengal Chief Minister Mamata Banerjee today become emotional while reacting to a state BJP leaders derogatory remarks against her last week.Speaking at a public rally in Malda district, in a visibly angry and emotional outburst Banerjee said, ""I feel ashamed to say this, recently I heard a BJP leader's speech on TV while he was asking whether Mamata Banerjee is a woman or man or a Hijra. I am ashamed (of such remarks). I have taken birth on this soil. If it was some other state they would have been given a befitting reply. How dare they question my birth, my identity, my parents! Who are they? Even we worship Lord Ram, that Ram who worshipped Maa Durga.""Last week, a BJP leader from West Midnapore district Shyamapada Mondal had made the controversial remark about the Trinamool Congress supremo that triggered widespread condemnation across the state. Accusing Banerjee of indulging in politics of appeasement, Mandal said, ""Today it's difficult to make out whether Mamata Banerjee is a man or a woman, I'd say she has become a 'hijra' (eunuch).""Following the remark, police had registered an FIR against Mandal after a complaint by the Trinamool Congress in the district. ""We had raised the slogan, Bodla Noy Bodol Chai, (want change, not vendetta) thus we haven't booked them yet. Those who are threatening us saying that they will put us behind bars should remember even we have several cases ready against them,"" Mamata reminded.Continuing her tirade against the BJP led government at the Centre, Mamata once against questioned the Aadhar project. ""Now they want Aadhar card for cows too, just imagine. They want Aadhar for breakfast, lunch and dinner as if Aadhar is enough to fill your stomach,"" Banerjee said.Terming the BJP leadership as ""fake Hindus"" Mamata slammed the saffron brigade for taking out armed rallies on Ram Navami. ""People do not need to take up arms on behalf of religion,"" she said.Also read:Didi a hijra: BJP leader launches attack on West Bengal Chief Minister Mamata Banerjee",19,"West Bengal CM Mamata Banerjee on Thursday reacted to BJP leader Shyamapada Mondal's 'hijra' (eunuch) remark, stating she feels ashamed of such remarks. ""How dare they question my birth, my identity, my parents? Who are they? Even we worship Lord Ram, that Ram who worshipped Maa Durga,"" she said. Mondal had earlier said that TMC chief is a 'hijra'.","West Bengal CM Mamata Banerjee on Thursday reacted to BJP leader Shyamapada Mondal's 'hijra' (eunuch) remark, stating she feels ashamed of such remarks. Mondal had earlier said that TMC chief is a 'hijra'. Even we worship Lord Ram, that Ram who worshipped Maa Durga,"" she said. ""How dare they question my birth, my identity, my parents? Who are they?"
2583,"Former captain Rahul Dravid has been appointed India's batting consultant for overseas tours, BCCI announced on Tuesday. Dravid would take up the role alongside his current position of coach of India 'A' and U-19 teams, for which he was recently given a two-year extension. Dravid has been appointed alongside Ravi Shastri as head coach and Zaheer Khan as bowling coach.","Former captain Ravi Shastri has been appointed the new head coach of the Indian men's cricket team till the 2019 World Cup, as first reported on India Today. Shastri's first assignment will be a full-fledged tour of Sri Lanka featuring three Tests, five ODIs and a one-off T20 International starting July 26.  WATCH FULL VIDEOMeanwhile, Zaheer Khan has been named bowling coach while Rahul Dravid will be batting coach for overseas tours.BCCI said that the Cricket Advisory Committee (CAC) of Sachin Tendulkar, Sourav Ganguly and VVS Laxman, who conducted the interviews, recommended these appointments in the ""best interest"" of Indian cricket.The term of the appointments will be till the World Cup 2019.""Shastri has been the team director in the past, and brings with him a wealth of experience, both as player and as coach,"" said board's acting Secretary Amitabh Choudhary.""Zaheer is a contemporary cricketer who assumed the mentoring role to a young fast bowling unit even during his playing days with India. His inputs and wisdom will be of immense value to our young fast bowlers, who have shown tremendous potential in the last couple of years. And, as the Indian team is to play plenty of Test cricket overseas in the next two years, Rahul Dravid's expertise as batting consultant will be immensely helpful for youngsters,"" he added. The CAC had interviewed five candidates on Monday - Virender Sehwag, Tom Moody, Richard Pybus, Lalchand Rajput and Shastri - before finalising on the latter.Shastri was involved in a three-way race along with Virender Sehwag and Tom Moody as the advisory committee met in Mumbai to select the new coach.Shastri was overlooked last year as the CAC went ahead and picked Anil Kumble for a one-year term. Many had felt Shastri was the hot favourite to replace Duncan Fletcher  as the full-time coach until Kumble threw his hat in the ring.Last year, Shastri had said he was disappointed after missing out on the coaching job because the team had done ""wonderfully well"" under him.As team director from 2014 to 2016, Shastri had a good run as India won an ODI series against England, reached the semi-finals of the 2015 World Cup and 2016 World T20, won a T20I series in Australia and clinched the Asia Cup.But he soon made way for former captain Anil Kumble, who was selected coach by the CAC in 2016. Shastri was also one of the applicants last year but he was overlooked despite his good run.Kumble's one-year tenure came to a controversial end when he resigned following differences with skipper Virat Kohli.In a statement hours after tendering his resignation, Kumble said he was told by the Indian board that Kohli was not satisfied with his 'style of coaching'.ZAHEER KHAN NAMED BOWLING COACHFormer India pacer Zaheer has been named bowling coach. The 38-year-old has played 92 Tests and picked up 311 wickets and has 282 scalps to his name from 200 ODIs -- and as captain of the Delhi Daredevils has nurtured several talented young players.Zaheer is well respected in the Indian cricket fraternuity and has played with current members MS Dhoni, Yuvraj Singh, Virat Kohli, Rohit Sharma and Ravichandran Ashwin.RAHUL DRAVID BATTING COACH FOR OVERSEAS TOURSBCCI appointed Dravid as the batting coach for overseas tours. He is also coach of India's A and U-19 teams. Known as the 'The Wall' fo his solid defecne, Dravid accumulated 13288 runs in 164 Tests and 10889 runs in 344 ODIs.",25,"Former captain Rahul Dravid has been appointed India's batting consultant for overseas tours, BCCI announced on Tuesday. Dravid would take up the role alongside his current position of coach of India 'A' and U-19 teams, for which he was recently given a two-year extension. Dravid has been appointed alongside Ravi Shastri as head coach and Zaheer Khan as bowling coach.","Dravid would take up the role alongside his current position of coach of India 'A' and U-19 teams, for which he was recently given a two-year extension. Former captain Rahul Dravid has been appointed India's batting consultant for overseas tours, BCCI announced on Tuesday. Dravid has been appointed alongside Ravi Shastri as head coach and Zaheer Khan as bowling coach."
2565,"RJD supremo Lalu Prasad Yadav has said there is no question of his son and Bihar's Deputy CM Tejashwi Yadav resigning. The statement comes after Bihar CM Nitish Kumar gave Tejashwi a four-day ultimatum to come out clean of corruption allegations. Lalu added Rahul Gandhi, Mayawati are supporting him and they won't let BJP succeed in breaking the grand alliance.","Hours after Bihar Chief Minister Nitish Kumargave 4-day ultimatum  to his deputy Tejashwi Yadav to come out clean of corruption allegations in land-for-hotel case, RJD chief Lalu Yadav has come out in support of minister son.In his first interview after last week's CBI raids on his family and associates, the former Bihar CM categorically ruled out Tejashwi resigning from Nitish Kumar's Cabinet.Lalu described the CBI raids as part of a conspiracy hatched by Prime Minister Narendra Modi and BJP president Amit Shah to ""finish off him and his party - RJD"".""Tejashwi was a minor...cricket player when the hotel deal was finalised. These are baseless allegations,"" he said. HERE'S WHAT ALL LALU SAID:ALSO READ:Nitish Kumar gives ally Lalu Prasad 4 days to decide on son Tejashwi Yadav",6,"RJD supremo Lalu Prasad Yadav has said there is no question of his son and Bihar's Deputy CM Tejashwi Yadav resigning. The statement comes after Bihar CM Nitish Kumar gave Tejashwi a four-day ultimatum to come out clean of corruption allegations. Lalu added Rahul Gandhi, Mayawati are supporting him and they won't let BJP succeed in breaking the grand alliance.","RJD supremo Lalu Prasad Yadav has said there is no question of his son and Bihar's Deputy CM Tejashwi Yadav resigning. The statement comes after Bihar CM Nitish Kumar gave Tejashwi a four-day ultimatum to come out clean of corruption allegations. Lalu added Rahul Gandhi, Mayawati are supporting him and they won't let BJP succeed in breaking the grand alliance."
1629,"Mahatma Gandhi's grandson Gopalkrishna Gandhi on Tuesday said that PM Narendra Modi has reduced the name of Bapu to his spectacles. ""But the question is why does he need those spectacles? He needs it because there is room for veracity,"" he added. He further said that Arvind Kejriwal, Kanhaiya Kumar bring hope for new politics in India.","In a candid conversation with India Today Consulting Editor Rajdeep Sardesai during a session at the India Today Conclave South 2017 on the second day of the event, Gopalkrishna Gandhi, Mahatma Gandhi's grandson, said, ""The present Prime Minister Narendra Modi has reduced the name of Mahatma Gandhi to his spectacles.""""But the question is why does he need those spectacles? He needs it because there is room for veracity,"" Gandhi said.BJP speaks about Sardar Patel because he also stood for veracity, Gopalkrishna Gandhi said.PRAISE FOR KERJIWAL, KANHAIYAMaking a nuanced comment about the need for idealism-based politics, Gopalkrishna Gandhi said, ""There is great hope in India for non-cluster, non-family, non-right-wing politics. Right-wingism is about being on the side of majority (ignoring others).""""Anna Hazare and Arvind Kejriwal brought a fresh hope on Jantar Matar few years ago. I don't know how will Kejriwal perform but he brought some fresh hope,"" Gopalkrishna Gandhi said.""Kejriwal, Kanhaiya Kumar and Jignesh (Mevani) bring hope for new politics of India,"" said Gandhi adding, ""The governments come and go but he electorates and the electorate vending machine stay. I believe, India will produce such people, who will protect the country from its leaders.""ADVICE FOR RAHUL GANDHIOn a query drawing comparison between him and Congress Vice-President Rahul Gandhi over electoral politics, Gopalkrishna Gandhi said, ""I was playing safe by not joining politics. Rahul Gandhi has taken a big risk by joining politics.""He said, ""I would like Rahul Gandhi to tell India, ""I don't want to become the prime minister of India. I want to serve my party for life because it fought for the freedom of the country. I want to serve my party. But I want a prime minister to emerge from the ranks of the Congress. But, I am giving up all hope to become prime minister of India""."" 6 OTHER STATEMENTS GOPALKRISHNA GANDHI MADEResponding to a question about ideology-based politics, Gopalkrishna Gandhi said, ""End of ideology is a good thing. It means the end of ideologues. It also means the end of (political) posturing.""""Constitution does not give any ideology. It speaks of justice. My idea of ideology is justice.""""Hindu party of India is BJP. But, it did not win the majority vote. Majority vote was scattered. Hindu vote got consolidated.""",27,"Mahatma Gandhi's grandson Gopalkrishna Gandhi on Tuesday said that PM Narendra Modi has reduced the name of Bapu to his spectacles. ""But the question is why does he need those spectacles? He needs it because there is room for veracity,"" he added. He further said that Arvind Kejriwal, Kanhaiya Kumar bring hope for new politics in India.","Mahatma Gandhi's grandson Gopalkrishna Gandhi on Tuesday said that PM Narendra Modi has reduced the name of Bapu to his spectacles. He further said that Arvind Kejriwal, Kanhaiya Kumar bring hope for new politics in India. ""But the question is why does he need those spectacles? He needs it because there is room for veracity,"" he added."
4022,"The Reserve Bank of India (RBI) on Wednesday exempted banks dealing in government businesses from remaining open on April 1 in view of the annual closing business. This reverses RBI's earlier order where it asked the banks to mandatorily remain open on all days from March 25 to April 1, including Saturday, Sunday and all holidays.","Mumbai, Mar 29 (PTI) Reversing its earlier order, the Reserve Bank today said the bank branches dealing in government businesses need not remain open on April 1 in view of the annual closing business. In its earlier directive on March 24, the RBI had asked all authorised banks to be open on all days from March 25 to April 1, including Saturday, Sunday and all holidays, to facilitate the governments receipts and payments. The departments concerned of RBI were also to remain open on these days. In its revised instructions issued today, RBI said, ""On reconsideration, it has been decided that these branches need not be opened on April 1, 2017."" In a letter to the Indian Banks Association, unions AIBEA and AIBOA today said the RBI issued the directive ""very late, causing huge resentment"" among bank employees. ""The RBI is fully aware that March 25 and 26 would be weekly holidays for the banks. But very late on 24th evening, the RBI had flashed their instructions through the press and electronic media,"" said a joint letter written by them. Banks remain closed on April 1 every year for their annual closing of accounts. ""In this connection, it has been represented that opening of bank branches on April 1, 2017, may disrupt annual closing, especially in view of merger of some banks taking effect from that date,"" RBI added further. ",9,"The Reserve Bank of India (RBI) on Wednesday exempted banks dealing in government businesses from remaining open on April 1 in view of the annual closing business. This reverses RBI's earlier order where it asked the banks to mandatorily remain open on all days from March 25 to April 1, including Saturday, Sunday and all holidays.","This reverses RBI's earlier order where it asked the banks to mandatorily remain open on all days from March 25 to April 1, including Saturday, Sunday and all holidays. The Reserve Bank of India (RBI) on Wednesday exempted banks dealing in government businesses from remaining open on April 1 in view of the annual closing business."
564,"Actor Sunny Deol has denied reports of Yash Raj Films launching his son Karan Deol and added, ""Only we were supposed to launch him."" Karan's debut film, reportedly titled 'Pal Pal Dil Ke Paas', will be directed and produced by Sunny. Reports suggested that Sunny had objected to Yash Raj Films' three-film deal which Karan was supposed to sign. n","Bollywood actor Sunny Deol refuted the reports that his son Karan was set to be launched by Yash Raj Films.There were reports that Karan was gearing up to be launched by Yash Raj Films but it could not happen when Aditya Chopra asked the young actor to sign a three-film deal, which Sunny objected to. ?It wasn?t like that. Only we were supposed to launch him. But today anyone says anything and it becomes news. But the fact is, only we were supposed to do it,? Sunny said. The film, reportedly titled Pal Pal Dil Ke Paas, will be directed and produced by Sunny.Actors Sunny Deol, Dharmendra and Bobby deol during the trailer launch of their upcoming film 'Poster Boys' in Mumbai, on July 24.
							(IANS)
						The 59-year-old actor also refuted reports that he objected to Sunny Leone?s item number in Bhaiyyaji Superhitt due to alleged family objections. ?People keep saying anything. Who am I to say no. I never interfere in my films. I prefer to remain silent,? he said.Sunny was speaking at the trailer launch of his next, Poster Boy. The film, directed by Shreyas Talpade, is a remake of the Marathi film Poshter Boyz. Bobby Deol, Shreyas and Dharmendra were also present at the launch.Asked about choosing Sunny to play one of the character, Shreyas told media on Monday: ?I wanted Sunny sir to play the role because it adds credibility to the film. It?s a little sensitive subject, and Sunny being a part of the film adds the credibility that it isn?t an unpleasant or cheap film and it?s a family entertainer.?Shreyas said the new film is not completely different from the original but there are certain changes. ?There were not major changes. That script itself was very powerful so we tried to retain that as much possible. We just did little bit tweaking, and tried to do away with some mistakes which we may have done in the original. We have tried to make it even better,? Shreyas said.Shreyas Talpade, Sunny Deol, Dharmendra and Bobby Deol in Mumbai, on July 24.
							(IANS)
						Bobby, who is playing one of the lead characters, spoke about the dialect he had to use for the film.He said: ?It was a big challenge to speak in pure Hindi. Shreyas and I did a lot of workshops together. It was amazing how Shreyas knew everyone?s dialogues. I wanted him to say my dialogues too. It was a difficult task, but also it was a lot of fun and exciting.?The film, which stars Sunny, Bobby Deol and Shreyas, also features a voice-over by Ajay Devgn. Shreyas said the Shivaay actor came on board instantly. ?We wanted the voice-over in the beginning to be impactful. He is a very dear friend, very supportive. He is what you call a very secure actor. I just showed him the trailer and asked if he would do the voice-over and he readily obliged. I can?t thank him enough,? Shreyas said.?I had heard that the Marathi film was a big hit. But after watching this trailer, I can say that this will be a bigger hit than the original. I think Poster Boys 2 should also come out. Shreyas should start working on a sequel,? Dharmendra said.Poster Boys is scheduled to release on September 8. Follow @htshowbiz for more",48,"Actor Sunny Deol has denied reports of Yash Raj Films launching his son Karan Deol and added, ""Only we were supposed to launch him. "" Karan's debut film, reportedly titled 'Pal Pal Dil Ke Paas', will be directed and produced by Sunny. Reports suggested that Sunny had objected to Yash Raj Films' three-film deal which Karan was supposed to sign. n","Actor Sunny Deol has denied reports of Yash Raj Films launching his son Karan Deol and added, ""Only we were supposed to launch him. "" Reports suggested that Sunny had objected to Yash Raj Films' three-film deal which Karan was supposed to sign. Karan's debut film, reportedly titled 'Pal Pal Dil Ke Paas', will be directed and produced by Sunny. n"
657,"Ganesh mandals across Mumbai have been demanding that noise norms in Silent Zones of the city should be relaxed for Ganeshotsav. Silent Zones are areas within 100 metres of hospitals, courts, educational or religious institutions where noise levels must not exceed 45 decibels. Notably, the state government has also asked for relaxation of Silence Zones norms ahead of the festival.","Demands from  mandals to do away with silence zones are growing louder across the city. The  Brihanmumbai Sarvajanik Ganeshotsav Samanvay Samiti (BSGSS), the umbrella body of Ganesh mandals, has asked mandals to speak to MPs and MLAs in their constituencies to push the Centre to abolish silence zones, as an amendment to the noise rules. BSGSS? decision comes a day after HT reported the state asked the Ministry of Environment, Forests and Climate Change to remove the concept of silence zones from the Noise Pollution (Control and Regulation) Rules, 2000, ahead of this year?s festivals.Silence zones are areas within a 100m radius of hospitals, courts, educational or religious institutions where noise levels must not exceed 45 decibels (dB) and 40dB during the day and night. There are 1,537 silence zones in the city.BSGSS members told HT they welcomed the state government?s move and that they will ensure this year?s festivals don?t have as many restrictions as those in previous years. ?We are happy CM  Fadnavis kept his promise to relax noise norms for Ganeshotsav. We are not against anti-noise campaigners; we just want to celebrate the festival with all the fervour it deserves,? said Naresh Dahibhavkar, president, BSGSS. ?These rules affect our daily aarti (prayers),? he said. Dahibhavkar said Ganesh mandals in the state were told to reach out MPs and MLAs as the Centre needs to be ?pressurised for the amendment to happen?. ?If the silence zone rule is not abolished, we will ask the state government to do away the zones through a notification, for the 10 days of the festival,? said Dahibhavkar. Noise rules have been blatantly violated in Mumbai over the years.  Last year, noise levels during Ganpati reached 116.4 dB. In 2015, noise levels reached 123.7 dB (as loud as a thunderclap). The WHO has said long-term exposure to noise levels between 85db and 90db leads to hearing loss.Anti-noise campaigners were shocked with the state?s decision and the mandals? demand. ?The state, through its actions, is inciting mandals to cause grievous harm to citizens,? said Sumaira Abdulali, convener, Awaaz Foundation.  ?Instead of encouraging mandals to obey the law, respect the health and rights of others, the state is leading them in harming patients, the elderly.?After the state?s decision, Yeshwant Oke, the activist who registered the first noise pollution case in Mumbai in the HC, started an online petition that has already got 350 signatures. ",27,"Ganesh mandals across Mumbai have been demanding that noise norms in Silent Zones of the city should be relaxed for Ganeshotsav. Silent Zones are areas within 100 metres of hospitals, courts, educational or religious institutions where noise levels must not exceed 45 decibels. Notably, the state government has also asked for relaxation of Silence Zones norms ahead of the festival.","Silent Zones are areas within 100 metres of hospitals, courts, educational or religious institutions where noise levels must not exceed 45 decibels. Ganesh mandals across Mumbai have been demanding that noise norms in Silent Zones of the city should be relaxed for Ganeshotsav. Notably, the state government has also asked for relaxation of Silence Zones norms ahead of the festival."
3683,"Sushant Singh Rajput has said he didn't take rumoured girlfriend Kriti Sanon on a ride as soon as he bought his new car. ""I had taken the car out for a spin alone the day it was delivered. Nobody clicked any pictures then,"" he added. Sushant further said he and Kriti are good friends and the dating rumours are untrue.","Reams of newsprint have been dedicated to Sushant Singh Rajput and Kriti Sanon's rumoured relationship. The Raabta co-stars have repeatedly denied being in a relationship, but to no avail. When Sushant was clicked taking Kriti for a spin in his new swanky car, rumour mills went into an overdrive. Sushant opened up about in an interview with Mumbai Mirror.""It's not like I bought the car and took Kriti for a ride,"" he laughed. ""I had taken the car out for a spin alone the day it was delivered. Nobody clicked any pictures then.""For the last few weeks, stories of Sushant and Kriti's relationship going kaput were doing the rounds. Photos of their long drive made people think they had decided to rekindle their dying out romance. Sushant laughed, ""I read about this thing between us, then there were stories about a fight and a break-up and then suddenly, probably because of the Maserati we were back together.""He added, ""They are all very interesting but untrue. We are good friends. She's an engineer and I was studying to be one too before I dropped out. We're both from Delhi, big foodies and like spending time together. Period.""",15,"Sushant Singh Rajput has said he didn't take rumoured girlfriend Kriti Sanon on a ride as soon as he bought his new car. ""I had taken the car out for a spin alone the day it was delivered. Nobody clicked any pictures then,"" he added. Sushant further said he and Kriti are good friends and the dating rumours are untrue.","Sushant Singh Rajput has said he didn't take rumoured girlfriend Kriti Sanon on a ride as soon as he bought his new car. Sushant further said he and Kriti are good friends and the dating rumours are untrue. ""I had taken the car out for a spin alone the day it was delivered. Nobody clicked any pictures then,"" he added."
639,"Prison officials in the Public Accounts Committee Meeting of Karnataka Legislative Assembly have agreed that AIADMK leader VK Sasikala was given special treatment in jail. The committee has ordered a probe into the matter asking officials to submit a report within 15 days. Notably, the issue was raised by Karnataka's DIG of Prisons D Roopa who has now been transferred.","It was alleged that VK Sasikala is being given special treatment in Parappana Agrahara Central jail, where she has been imprisoned after being acquitted in the disproportionate assets case.This claim was made by Karnataka's Deputy Inspector of General Prisons D Roopa who has now been transferred. D Roopa, in her report, also suggested that Sasikala paid Rs 2 crore was paid to avail facilities like five rooms, cot, bed, television and a separate kitchen inside the prison. A probe was ordered by Karnataka chief minister Siddaramaiah, who ordered Roopa's transfer. However, during the Public Accounts Committee Meeting of Karnataka Legislative Assembly, that was recently, the prison high officials agreed that the former general secretary of AIADMK was given special treatment. The committee is headed by Bharatiya Janata Party MLA and former home minister R Ashok who has asked the officials to submit a report within 15 days. D ROOPA'S CONTROVERSIAL REPORTIn her four-page report after visiting the central prison on July 10, Roopa had said a special kitchen was functioning in the jail here for Sasikala, a convict in a corruption case, in violation of the rules.Sasikala has been lodged at the Parappana Agrahara central jail in Bengaluru since her conviction in February in a disproportionate assets case along with her two relatives, VN Sudhakaran and Elavarasi, all serving a four-year jail term.(With inputs from Priyamvatha P)Also Watch: Exclusive: Exposing poor administration doesn't amount to criticising the govt, DIG Roopa to India Today",9,"Prison officials in the Public Accounts Committee Meeting of Karnataka Legislative Assembly have agreed that AIADMK leader VK Sasikala was given special treatment in jail. The committee has ordered a probe into the matter asking officials to submit a report within 15 days. Notably, the issue was raised by Karnataka's DIG of Prisons D Roopa who has now been transferred.","Prison officials in the Public Accounts Committee Meeting of Karnataka Legislative Assembly have agreed that AIADMK leader VK Sasikala was given special treatment in jail. The committee has ordered a probe into the matter asking officials to submit a report within 15 days. Notably, the issue was raised by Karnataka's DIG of Prisons D Roopa who has now been transferred."
